reviewerName,expertiseAreas
M. Tischkowitz,"bimetal, gold cluster"
Peiliang Wu,"functional requirement, genetic code, white box, semiosis, big data"
Zhenlong Man,"functional requirement, white box, big data"
Shu-Ping Chang,"information quality, big data, data management"
Bhabendu Kumar Mohanta,"information quality, subclass, data set, training set, sample (material)"
Jongheon Shin,"oxidation state, reactivity"
Hui Ma,"oxidation state, reactivity"
M. Schweiger,"oxidation state, tunicate, haystack, structural motif, reactivity"
Timothy Miller,"hepatoblastoma, text corpus, transfer-based machine translation, nature versus nurture, representation, genomic, disease, medical genetics, transformer, personalized medicine, query plan, regimen, trie, snapshot (computer storage)"
O. Garsmeur,"hepatoblastoma, regimen"
A. Reiner,"chemical database, very large database, limiting, chemical space"
K. Pringle,"chemical database, galleria mellonella, phenobarbital, genomic, molecularly imprinted polymer, very large database, boronic acid, molecular imprinting, molecular recognition, molecular, limiting, alkyne, chemical space"
H. Mett,"chemical database, multilayer perceptron, very large database, limiting, chemical space"
R. Gibbs,"gene co-expression network, waxy corn, inbred strain, genome-wide association study, candidate gene"
V. Walker,"gene co-expression network, waxy corn, inbred strain, subgenus, genome-wide association study, candidate gene, furin"
Qinghua Wu,"unconventional computing, visual inspection, end-user computing, disease, diagnosis, databases, gold standard (test), health, association (psychology)"
P. Suganthan,"unconventional computing, virtual network, fault management, database server, end-user computing, big data, leverage (statistics), interpretability, downtime"
A. Karaa,"rpob, cyhalothrin, coagulase, corynebacterium pseudotuberculosis, molecularly imprinted polymer, molecular imprinting, nanomaterials, molecular, udder, somatic cell count, nanosensor, california mastitis test"
R. Steenson,"rpob, coagulase, corynebacterium pseudotuberculosis, udder, somatic cell count, california mastitis test"
S. Gulati,"root system, root (linguistics)"
Qi Wang,"root system, root (linguistics)"
Pan Li,"root system, root (linguistics)"
Yang Zheng,"mechanotransduction, macrophage polarization"
Z. Kehel,"mechanotransduction, macrophage polarization"
F. Fonseca,"catenane, axial chirality, supramolecular chirality, stereocenter, enantiopure drug, chirality"
Siyuan Su,"catenane, klebsiella oxytoca, klebsiella, axial chirality, supramolecular chirality, liquid phase, stereocenter, enantiopure drug, chirality"
U. Huynh,"catenane, axial chirality, supramolecular chirality, stereocenter, disease, enantiopure drug, chirality, natural product"
Y. Quentin,"legionella, sequence (biology), multilocus sequence typing"
N. Mahroum,"legionella, sequence (biology), multilocus sequence typing"
F. Nappi,"legionella, sequence (biology), multilocus sequence typing"
R. Lee,"rhamnolipid, carbon source, pseudomonadales, carbon fibers"
Yunhui Wu,"rhamnolipid, carbon source, pseudomonadales, carbon fibers"
J. Hao,intestinal mucosa
N. Lorusso,intestinal mucosa
S. Williamson,"intestinal mucosa, psychoticism, association (psychology)"
H. Trivedi,"obsolescence, big data, data analysis"
Y. Yesha,"obsolescence, representation, crowdsensing, anomaly (physics), mobile edge computing, minification, autoencoder"
Wenlong Tian,"obsolescence, workstation"
Yongxiang Chen,"abandonment (legal), moderation"
Indika Dissanayake,"abandonment (legal), parallelizable manifold, sensor fusion, moderation"
Jiemin Liu,"abandonment (legal), moderation"
Bo Li,"poultry farming, highly pathogenic"
K. Mengele,"poultry farming, highly pathogenic"
P. Marcogliese,"poultry farming, highly pathogenic"
R. B. de Alexandre,"molecular biomarkers, membrane distillation, genomic"
Ning Zhu,molecular biomarkers
H. Hjalgrim,molecular biomarkers
Zhengwang Yu,"cardiac fibrosis, surgical pathology, fgf21, anatomical pathology, diabetic cardiomyopathy, molecular pathology, molecular diagnostics, crosstalk"
Wharton O. Y. Chan,"cardiac fibrosis, fgf21, diabetic cardiomyopathy, crosstalk"
Xinyu Wang,"cardiac fibrosis, fgf21, diabetic cardiomyopathy, crosstalk"
B. White,"proper noun, thesaurus, sentiment analysis, mining, software portability"
Weiwei Deng,"proper noun, thesaurus, sentiment analysis, mining"
Manos Athanassoulis,"proper noun, thesaurus, sentiment analysis, mining"
S. Bazi,"yersinia, yersinia pseudotuberculosis, yersiniosis, plague, yersinia pestis"
M. Dittmar,"yersinia, yersinia pseudotuberculosis, yersiniosis, plague, yersinia pestis"
A. El-Mahalawy,"preharvest, hormesis, transitive closure, spark (programming language), multinomial distribution, plant disease, transformer, dissolved gas analysis"
D. Mueller-Wieland,"preharvest, hormesis, plant disease"
Wenjuan Lv,"preharvest, hormesis, plant disease"
S. Jaconi,"radiosensitivity, radioresistance"
A. L. Vicente,"radiosensitivity, maya, haplogroup, radioresistance, haemolysis, edman degradation"
M. El-Menshawy,"imaging technology, identification"
A. A. Brahim,"imaging technology, identification"
Luca Venturini,"imaging technology, identification"
E. Johnson,"barrier function, intestinal microbiome, ethidium bromide, growth inhibition, gut microbiome, health, gut–brain axis"
P. Mahlambi,"barrier function, intestinal microbiome, antibody titer, antibody response, gut microbiome, health, serum albumin, gut–brain axis"
M. Balasubramanyam,"barrier function, intestinal microbiome, gut microbiome, health, gut–brain axis"
Matthias Nauck,"cefoperazone, cefazolin, molecularly imprinted polymer, molecular"
K. Koike,"cefoperazone, cefazolin, genomic, disease, molecularly imprinted polymer, exome, molecular, cpg site, rare disease"
K. Cohen-Solal,"cefoperazone, cefazolin, molecularly imprinted polymer, molecular"
A. Hilal,"experimental archaeology, identification, databases, mining, iris recognition, cloud database"
J. A. G. Higuera,"experimental archaeology, identification"
Jiashu Wu,"elliptic orbit, eccentricity (behavior), merge (version control), line (geometry), ellipse"
Lijun Ding,"elliptic orbit, eccentricity (behavior), merge (version control), line (geometry), ellipse"
Kai Yan,"true positive rate, genetic diagnosis, dried blood"
Xiao-yan Jia,"true positive rate, genetic diagnosis, dried blood"
E. Sorrell,"metabolic disorder, tyrosinemia, neonatology"
L. Dacheux,"metabolic disorder, tyrosinemia, neonatology"
Fabian Suriano,"metabolic disorder, tyrosinemia, neonatology"
Shushu Huang,"alkylbenzenes, glycidol, dodecane, chromatographic separation"
J. Pell,"alkylbenzenes, glycidol, dodecane, chromatographic separation"
A. Pezzuto,"alkylbenzenes, glycidol, dodecane, chromatographic separation"
P. Burbelo,"sparidae, euryhaline"
M. Pinholt,"sparidae, euryhaline"
Talya Mordechai-Daniel,"human anatomy, dabrafenib, gross anatomy, everolimus, genomic medicine, pazopanib, trametinib, diagnosis"
A. Overbeeke,"human anatomy, gross anatomy, genomic medicine"
F. L. Lucas,"human anatomy, gross anatomy, genomic medicine, front line, pyrimidine metabolism, disease, pandemic, molecular diagnostics, anti-inflammatory, metabolic pathway, monoamine oxidase b, isoleucine, pyrazole"
C. Blanco,"jpeg, lossy compression"
Shaopeng Guan,"jpeg, lossy compression, orchestration"
G. Diaz,"rifle, surface-enhanced raman spectroscopy, multilayer perceptron, biomolecule"
Angela S. Li,"rifle, multilayer perceptron"
Yichao Zheng,"rifle, multilayer perceptron, comparative genomics, genome, segmental duplication"
L. Allison,"estrogen receptor beta, estrogen receptor alpha"
Kelly Cho,"estrogen receptor beta, root (linguistics), estrogen receptor alpha, molecular, synthesis, monoamine oxidase a, monoamine oxidase b"
Kui Zheng,"estrogen receptor beta, estrogen receptor alpha"
M. Roennefarth,"genetically modified tomato, executor, spark (programming language), big data, plant hormone, wrky protein domain"
D. Menya,"genetically modified tomato, plant hormone, wrky protein domain"
S. Ellahham,"genetically modified tomato, plant hormone, wrky protein domain"
Yipin Sun,"extended finite-state machine, deterministic finite automaton, netlist, urban computing, reverse engineering, boosting, benchmark (surveying), smart city, knowledge graph"
Nurkhat Zhakiyev,"extended finite-state machine, deterministic finite automaton, netlist, feature (linguistics), reverse engineering, benchmark (surveying), cardiac arrhythmia"
Irfan Ullah Khan,"extended finite-state machine, deterministic finite automaton, netlist, reverse engineering, benchmark (surveying)"
Guanghui Li,"software product line, domain engineering, identification, edge device, fuse (electrical), discriminative model, mobile edge computing, reusability"
Da Zhang,"software product line, domain engineering, identification, smart city, data aggregator, reusability"
Yang Wu,"haustorium, phytophthora palmivora, theobroma, stochastic gradient descent, oomycete, plant disease, confusion matrix, health"
M. Jemmali,"haustorium, phytophthora palmivora, theobroma, oomycete, plant disease, lineage (genetic)"
U. Landman,"camouflage, leafy, appendage"
A. Rambaut,"camouflage, leafy, appendage"
A. Pastori,"camouflage, auricularia, leafy, appendage, genomic, comparative genomics, synteny, indel"
T. Bigdeli,"omphalocele, bubalus, congenital malformations, homeostasis, angiotensin-converting enzyme 2"
Stacey Pereira,"omphalocele, air travel, bubalus, congenital malformations, genomic, pandemic, global health"
Jian Wang,"omphalocele, bubalus, congenital malformations, dota, bioconjugation, epigenome, genome engineering, biodistribution"
Tiark Rompf,central business district
J. Agushaka,central business district
Qinming He,"central business district, databases, homomorphic encryption, mining, basis (linear algebra), data stream clustering, private information retrieval, affinity analysis"
Chandan K. Reddy,"object-oriented modeling, mahalanobis distance, synchronizing, green computing, consumption, component (thermodynamics), data management, microblogging"
Yiming Li,"object-oriented modeling, resource management"
Kai-Lieh Huang,"oxylipin, diagnostic odds ratio, disease, wilson's disease"
R. Fontana,"oxylipin, disease, wilson's disease"
O. Quenez,"oxylipin, disease, wilson's disease"
Vittoria Barberi,"organic acid, malic acid, carbohydrate metabolism, metabolic pathway"
Samantha Nichols,"organic acid, malic acid, carbohydrate metabolism, nanomaterials, chromatographic, metabolic pathway, carbon fibers"
Yiming Zeng,"padé approximant, airy function, wkb approximation, rate function, exponent"
L. Guddat,"padé approximant, airy function, wkb approximation, rate function, exponent"
Qixiong Zhang,"dairy farming, fagopyrum tataricum, fagopyrum, flavonoid biosynthesis, udder, candidate gene, benchmarking, myb"
Katharina Domschke,"dairy farming, udder, benchmarking"
Yu Zhan,"performance indicator, root cause analysis, big data, tree (set theory)"
Sangwon Lee,"performance indicator, root cause analysis, big data, tree (set theory)"
Qian Chen,"performance indicator, root cause analysis, macro, physical education, big data, tree (set theory), discriminative model, initialization"
Yang Xiao,"conservation psychology, global public good, wildlife trade, pandemic, health, one health, biosecurity"
V. Narang,"conservation psychology, global public good, wildlife trade, pandemic, health, one health, biosecurity"
M. A. Haider,"conservation psychology, global public good, wildlife trade, pandemic, health, one health, biosecurity"
Neeraj Arora,"kernelization, distance matrix, similarity (geometry), tree (set theory), r-tree"
Leandro Fiorin,"kernelization, data synchronization, distance matrix, similarity (geometry), plain text, encryption, homomorphic encryption, privacy software"
Wen Gao,"kernelization, distance matrix, similarity (geometry)"
Reyna L. Gordon,"percentile rank, graduation (instrument), specialty"
R. Reynolds,"percentile rank, graduation (instrument), specialty"
A. Chakrabarti,"percentile rank, cell function, graduation (instrument), glycobiology, molecular imaging, specialty, biomedicine"
S. Boubaker,"bisection, time perception"
Ishaani Priyadarshini,"bisection, time perception, colletotrichum, comparative genomics, functional genomics"
N. Lallous,"bisection, time perception"
D. E. Elder,"autobiographical memory, health, association (psychology), delay discounting, trait"
Fei Xiong,"autobiographical memory, health, association (psychology), delay discounting, trait"
Huixian Zhang,melon
E. Aliyev,"melon, megalobrama"
Vittoria Murro,melon
Jonathan D. Moore,"general hospital, disease, mining, pandemic, coronavirus"
Yunkai Lv,"general hospital, mining"
B. Jiang,"control system security, data integrity, cyber-physical system, robustness, random oracle"
Hanyin Wang,"control system security, cyber-physical system, robustness"
M. Hudson,"control system security, data processing, big data, cyber-physical system, robustness, profiling (computer programming)"
N. Telmon,diaminopimelic acid
Teddie Rahube,diaminopimelic acid
E. Simón,"diaminopimelic acid, genomic medicine, scope (computer science), spark (programming language), cancer medicine, data sharing, big data, personalized medicine, health"
Y. Tenenbaum‐Rakover,"integumentary system, vitiligo, melanosome, disease, melanocyte, regenerative medicine"
K. Oh,"integumentary system, vitiligo, melanosome, disease, panicle, melanocyte, loss function, regenerative medicine"
H. Tournaye,"integumentary system, vitiligo, melanosome, disease, melanocyte, regenerative medicine"
Gérard Escher,"indapamide, solid phase extraction, molecularly imprinted polymer, molecular imprinting, molecular, ethylene glycol dimethacrylate"
N. Jain,"indapamide, solid phase extraction, molecularly imprinted polymer, molecular imprinting, molecular, ethylene glycol dimethacrylate"
Xiaozhu Liu,"indapamide, solid phase extraction, molecularly imprinted polymer, molecular imprinting, molecular, ethylene glycol dimethacrylate"
G. Konstantinidis,"qr decomposition, singular value, regularization"
Zheng Liu,"qr decomposition, singular value, instant messaging, network forensics, information exchange, information sharing, regularization"
Shiqiang Tao,"qr decomposition, singular value, data processing, big data, regularization"
B. Loeys,"prevalence, virus inactivation, intense pulsed light, human decontamination, hepatitis b, sars virus"
C. Morrissey,"prevalence, hepatitis b, monoamine oxidase a, monoamine oxidase b"
Supriya S. Kanyal,"prevalence, adaptability, hepatitis b, multicellular organism"
Tatjana Opacic,"virtual economy, fibrillogenesis, protein precursor, big data, environmental monitoring"
Claudio Di Ciccio,"virtual economy, similarity (geometry), big data, benchmark (surveying), cardinality (data modeling), indexing, database index"
Simon Volpert,"virtual economy, big data"
M. A. Al-qaness,"conservation law, hamilton–jacobi–bellman equation, upwind scheme, hamilton–jacobi equation, encryption"
Xiaoxu Li,"conservation law, bursa of fabricius, hamilton–jacobi–bellman equation, upwind scheme, basophilic, data security, hamilton–jacobi equation"
Youngho Park,"conservation law, hamilton–jacobi–bellman equation, upwind scheme, hamilton–jacobi equation, coordinate descent, rank (graph theory)"
M. Roch-Arveiller,"ecological selection, local adaptation"
Douglas M. Fox,"ecological selection, local adaptation, liquid biopsy"
V. Kovanen,"ecological selection, local adaptation"
V. Collins,"qualitative property, biodegradable plastic, bioplastic, environmentally friendly"
G. Jarvik,"qualitative property, coursework"
M. Antoniotti,"dimethoxyethane, phenazine"
Xianjun Peng,"dimethoxyethane, phenazine, icatibant, identification, schema (genetic algorithms), hereditary angioedema, genomic, heuristics, disease, benchmark (surveying), exome, liver disease, pathogenesis, genome-wide association study, memory bandwidth, genetic admixture, memory footprint, pathophysiology, clinical phenotype"
Mariangela Librizzi,"dimethoxyethane, phenazine, pandemic, coronavirus, infectivity"
P. Tsakalides,"traitor tracing, asynchronous learning, homomorphic encryption, graph partition, federated learning"
Tianyi Li,"traitor tracing, homomorphic encryption"
Daniel Frank,"citrobacter freundii, insertion sequence, horizontal gene transfer, genomic, genomic island"
C. Clemmensen,"citrobacter freundii, insertion sequence, horizontal gene transfer, genomic, genomic island"
F. Zhu,"citrobacter freundii, insertion sequence, horizontal gene transfer, genomic, genomic island, coronavirus, genomic dna"
M. Awais,"hessian matrix, rank condition, matrix (chemical analysis), constant (computer programming), restricted isometry property, rank (graph theory), matrix completion, genome"
T. Reshmi,"hessian matrix, rank condition, upload, matrix (chemical analysis), resilience, spark (programming language), constant (computer programming), restricted isometry property, line (geometry), rank (graph theory), matrix completion, data management"
Yajun Guo,"hessian matrix, rank condition, matrix (chemical analysis), constant (computer programming), restricted isometry property, rank (graph theory), matrix completion"
John Marchica,"inducer, gram"
C. Rubanovich,"inducer, gram"
Joshua W. Miller,"acknowledgement, workforce development, grey literature"
A. Althani,"acknowledgement, workforce development, grey literature"
F. Masoudi,"acknowledgement, workforce development, grey literature"
D. Earl,"sinomenine, histocompatibility, myocardial fibrosis, immunogenetics, inbred strain, malondialdehyde"
Xintao Qiu,"sinomenine, myocardial fibrosis, framing (construction), genomic, molecularly imprinted polymer, boronic acid, molecular imprinting, molecular recognition, molecular, malondialdehyde, alkyne, thematic analysis"
J. Kang,"sinomenine, myocardial fibrosis, disease, odds, malondialdehyde, polygenic risk score, atherosclerotic cardiovascular disease"
Bhushan Girase,"pramipexole, rotigotine, ramachandran plot, ropinirole, pars compacta, selegiline, genomic, disease, chemical stability, docking (animal), thermal stability"
Shiying Tao,"pramipexole, rotigotine, ropinirole, pars compacta, selegiline, genomic, disease, molecular, synthesis, natural product"
Jacqueline A Odgis,"pramipexole, rotigotine, immunoprecipitation, ropinirole, pars compacta, cd81, selegiline, genomic, disease, viability assay"
C. Feng,"coccidioides immitis, coccidioides, genome"
Shikha Gupta,"coccidioides immitis, ramachandran plot, coccidioides, feature (linguistics), disease, health, docking (animal), genome"
A. Nemeth,"dodecahedron, big data, benchmark (surveying), random oracle"
Xiaoxia Zhou,"dodecahedron, big data, benchmark (surveying)"
A. Telikani,"dodecahedron, big data, benchmark (surveying)"
Cary Ward,"ethnically diverse, underrepresented minority, genetic epidemiology"
Gabrielle Bertier,"ethnically diverse, underrepresented minority, genetic epidemiology"
M. Elgendi,"structured prediction, cache-oblivious algorithm, casp, structural bioinformatics, non-uniform memory access, codebase, cache-only memory architecture, cache pollution, page cache, cache invalidation, smart cache, memory hierarchy, homology"
Yi Zhou,"structured prediction, natural resource management, casp, structural bioinformatics, codebase, land cover, earth observation, homology"
Aiai Gao,"structured prediction, casp, priming (agriculture), structural bioinformatics, codebase, coronavirus, furin, homology"
V. Fock,"catalytic triad, oxyanion hole, thioesterase, acyltransferases"
A. Prakash,"catalytic triad, oxyanion hole, thioesterase, acyltransferases"
Hanyu Zhang,"passive sampling, molecularly imprinted polymer"
Bilal Zonjy,"passive sampling, molecularly imprinted polymer, streaming data, brown planthopper, locality-sensitive hashing, odorant-binding protein"
A. Ding,"abstraction layer, data format, data processing, data access, data processing system, data migration, data access layer, abstraction, code (set theory)"
Yang Yang,"abstraction layer, data format, data processing, spark (programming language), data access, computer cluster, data processing system, python, in-memory processing, terabyte, data migration, data access layer, online analytical processing, abstraction, code (set theory)"
Mihnea Andrei,"abstraction layer, data format, data processing, data access, data processing system, lyapunov optimization, data migration, data access layer, abstraction, code (set theory), mobile edge computing, computation offloading"
Yuanyuan Zhang,"smoothened, gli1, gli2"
Yanan Du,"smoothened, gli1, bupropion, gli2, genomic, personalized medicine, pharmacogenomics"
N. Shibata,"smoothened, gli1, gli2, acronym"
S. A. Jusoh,"cancer survivorship, cancer incidence, red meat, cancer prevention"
F. Cioppi,"cancer survivorship, cancer incidence, red meat, cancer prevention"
Sneha Gopal,"cancer survivorship, gigantea, cancer incidence, red meat, cancer prevention, sequence assembly"
Ganchimeg Lkhamsuren,"interrogation, genomic, personalized medicine, genomic sequencing"
M. Grinstaff,"interrogation, genomic, personalized medicine, genomic sequencing"
Aaron P. Smith,"ecdysone receptor, implicit solvation, disease, pcsk9"
Zheng Yan,"ecdysone receptor, nanomaterials"
A. Lightfoot,"ecdysone receptor, genexpert mtb/rif, genome-wide association study, concordance, genetic association, snp, snp genotyping, viral hepatitis, dried blood"
Juan Hu,"medical advice, data space, topological graph theory, body area network, big data"
T. Gündem,"medical advice, body area network"
R. Perego,"medical advice, body area network, spark (programming language), similarity (geometry)"
A. Lisek,"diffusion of innovations, genomic, cyber-physical system, vulnerability, python, resource management, modalities, translational research, granularity, code (set theory), commit"
C. Crosatti,"diffusion of innovations, genomic, modalities, translational research"
M. Barrera,"arid1a, phagocyte, tuftsin, tetrapeptide, microsatellite instability"
D. Kwan,"arid1a, microsatellite instability, pandemic, coronavirus, drug development, drug repositioning, repurposing"
Ryusuke Sudo,"arid1a, microsatellite instability, multifractal system, exponent"
E. Poupon,"hemifacial microsomia, exome"
E. Okello,"hemifacial microsomia, exome"
A. Fellbrich,"autoimmune diabetes, disease"
Han Yin,autoimmune diabetes
Youmin Chen,"waterfall model, data processing, representation, fog computing, big data, benchmark (surveying), data management, data center, edge device, feature learning"
G. Schehr,waterfall model
Kang Li,"ephemeral key, authenticated encryption, forcing (mathematics), authenticated key exchange, stream processing, spark (programming language), leverage (statistics)"
Kan Hu,"ephemeral key, authenticated encryption, authenticated key exchange"
Y. Lyu,"markov kernel, glauber, distributed learning, proliferative vitreoretinopathy, tree (set theory), federated learning, pathogenesis, training set, robustness, quadtree, proteome, independence, kegg"
Han Liu,"markov kernel, glauber, mining, association (psychology), independence"
Ikuo Nakagawa,"markov kernel, glauber, encryption, homomorphic encryption, mining, independence"
Jinghua Groppe,"information society, databases"
Hongke Zhang,"information society, join (topology), table (database), rank (graph theory), extreme learning machine"
M. T. Gómez-López,"saddle point, saddle, data analysis, human genetics, medical genetics, rank (graph theory), health, maxima and minima, spurious relationship"
Nanlin Jin,"saddle point, model-driven architecture, saddle, big data, low-rank approximation, rank (graph theory), matrix completion, data publishing, metamodeling, maxima and minima, spurious relationship"
Lei Chen,"saddle point, saddle, rank (graph theory), maxima and minima, spurious relationship"
Dong-Li Zhu,"intestinal epithelium, gastrointestinal epithelium, t-stage, betacoronavirus, coronavirus, nomogram, organoid, lasso, coronaviridae"
